SWD;SWDtop;CU;CM;CD;TT2M;ST;RH2m;WS10m;WS100m;PREC;SNOW;Month;Day;Hour
0.0;0.0;1.0;0.0;0.28;9.29;9.29;74.4;1.71;4.07;0.0;0.0;4;29;2.25
0.0;0.0;1.0;0.0;0.28;9.39;9.39;74.69;1.45;3.46;0.0;0.0;4;29;2.5
0.0;0.0;1.0;0.0;0.28;9.35;9.35;75.32;1.4;3.32;0.0;0.0;4;29;2.75
0.0;0.0;1.0;0.0;0.28;9.33;9.33;75.86;1.42;3.36;0.0;0.0;4;29;3.0
0.0;0.0;1.0;0.0;0.27;9.27;9.27;76.64;1.51;3.43;0.0;0.0;4;29;3.25
0.0;0.0;1.0;0.0;0.27;9.13;9.13;77.76;1.43;3.28;0.0;0.0;4;29;3.5
0.0;0.0;1.0;0.0;0.27;9.02;9.02;78.7;1.3;3.03;0.0;0.0;4;29;3.75
0.0;0.0;1.0;0.0;0.27;8.79;8.79;80.28;1.38;3.01;0.0;0.0;4;29;4.0
0.0;0.0;1.0;0.0;0.9;8.86;8.86;80.52;1.51;3.29;0.0;0.0;4;29;4.25
0.0;0.0;1.0;0.0;0.9;9.08;9.08;80.39;1.6;3.47;0.0;0.0;4;29;4.5
0.0;0.0;1.0;0.0;0.9;9.1;9.1;81.27;1.69;3.38;0.0;0.0;4;29;4.75
0.0;0.0;1.0;0.0;0.9;9.05;9.05;82.08;1.63;3.38;0.0;0.0;4;29;5.0
0.0;0.0;1.0;0.0;0.97;9.02;9.02;82.49;1.52;3.28;0.0;0.0;4;29;5.25
0.0;0.0;1.0;0.0;0.97;9.01;9.01;82.67;1.44;3.12;0.0;0.0;4;29;5.5
0.0;0.0;1.0;0.0;0.97;8.99;8.99;82.77;1.44;3.01;0.0;0.0;4;29;5.75
0.0;0.0;1.0;0.0;0.97;8.95;8.95;82.92;1.49;3.02;0.0;0.0;4;29;6.0
0.0;0.0;1.0;0.0;0.6;8.78;8.78;83.67;1.55;3.08;0.0;0.0;4;29;6.25
0.0;0.0;1.0;0.0;0.6;8.6;8.6;84.46;1.54;3.27;0.0;0.0;4;29;6.5
0.0;0.0;1.0;0.0;0.6;8.5;8.5;84.87;1.51;3.4;0.0;0.0;4;29;6.75
0.0;0.0;1.0;0.0;0.6;8.42;8.42;85.13;1.46;3.31;0.0;0.0;4;29;7.0
27.57;110.2;1.0;0.0;0.0;8.23;8.23;86.44;1.44;3.14;0.0;0.0;4;29;7.25
27.57;110.2;1.0;0.0;0.0;8.05;8.05;87.49;1.4;3.04;0.0;0.0;4;29;7.5
72.31;230.12;1.0;0.0;0.0;8.15;8.15;87.69;1.31;2.96;0.0;0.0;4;29;7.75
78.37;253.62;1.0;0.0;0.0;8.25;8.25;87.64;1.27;2.74;0.0;0.0;4;29;8.0
94.81;325.62;1.0;0.01;0.01;8.38;8.38;87.43;1.21;2.58;0.0;0.0;4;29;8.25
107.81;374.35;1.0;0.04;0.01;8.53;8.53;86.97;1.27;2.58;0.0;0.0;4;29;8.5
121.09;421.58;1.0;0.07;0.01;8.73;8.73;86.13;1.41;2.7;0.0;0.0;4;29;8.75
134.62;467.48;1.0;0.1;0.01;8.94;8.94;85.02;1.54;2.84;0.0;0.0;4;29;9.0
158.76;536.26;1.0;0.14;0.01;9.18;9.18;83.77;1.61;2.93;0.0;0.0;4;29;9.25
186.43;581.7;1.0;0.14;0.01;9.44;9.44;82.31;1.62;2.96;0.0;0.0;4;29;9.5
224.68;625.17;1.0;0.11;0.01;9.77;9.77;80.48;1.59;2.93;0.0;0.0;4;29;9.75
272.2;666.91;1.0;0.05;0.01;10.16;10.16;77.74;1.62;2.72;0.0;0.0;4;29;10.0
372.31;727.77;1.0;0.01;0.0;10.55;10.55;75.32;1.55;2.38;0.0;0.0;4;29;10.25
415.8;766.83;1.0;0.01;0.01;10.95;10.95;73.5;1.48;2.2;0.0;0.0;4;29;10.5
453.97;803.57;1.0;0.01;0.01;11.46;11.46;71.31;1.53;2.26;0.0;0.0;4;29;10.75
487.51;838.29;1.0;0.01;0.01;11.99;11.99;68.87;1.72;2.54;0.0;0.0;4;29;11.0
537.74;887.1;1.0;0.02;0.0;12.42;12.42;66.84;1.85;2.66;0.0;0.0;4;29;11.25
570.41;917.11;1.0;0.01;0.0;12.83;12.83;65.07;1.88;2.68;0.0;0.0;4;29;11.5
603.45;944.62;1.0;0.01;0.0;13.28;13.28;63.2;1.94;2.76;0.0;0.0;4;29;11.75
636.84;969.97;1.0;0.01;0.0;13.79;13.79;61.32;2.07;2.96;0.0;0.0;4;29;12.0
679.97;1003.39;1.0;0.0;0.0;14.27;14.27;59.75;2.22;3.21;0.0;0.0;4;29;12.25
702.53;1022.3;1.0;0.0;0.0;14.56;14.56;58.85;2.41;3.43;0.0;0.0;4;29;12.5
720.45;1038.72;1.0;0.0;0.0;14.67;14.67;58.48;2.58;3.67;0.0;0.0;4;29;12.75
734.29;1052.96;1.0;0.0;0.0;14.98;14.98;57.65;2.74;3.98;0.0;0.0;4;29;13.0
745.25;1068.72;1.0;0.0;0.0;15.31;15.31;56.76;2.9;4.29;0.0;0.0;4;29;13.25
749.86;1075.25;1.0;0.0;0.0;15.62;15.62;55.76;3.01;4.5;0.0;0.0;4;29;13.5
745.72;1079.44;1.0;0.0;0.01;15.88;15.88;54.75;2.96;4.37;0.0;0.0;4;29;13.75
733.92;1081.6;1.0;0.0;0.03;15.93;15.93;54.31;2.73;3.9;0.0;0.0;4;29;14.0
507.8;1078.63;1.0;0.01;0.45;15.72;15.72;54.85;2.62;3.69;0.0;0.0;4;29;14.25
318.58;1072.33;1.0;0.01;0.82;15.46;15.46;55.76;2.89;4.26;0.0;0.0;4;29;14.5
242.87;1064.02;1.0;0.02;0.93;15.19;15.19;56.53;3.4;5.4;0.0;0.0;4;29;14.75
266.49;1053.96;1.0;0.02;0.81;15.23;15.23;55.84;3.78;6.25;0.0;0.0;4;29;15.0
195.17;1032.45;1.0;0.02;1.0;15.13;15.13;55.59;3.6;5.99;0.0;0.0;4;29;15.25
380.82;1013.75;1.0;0.02;0.57;15.31;15.31;55.09;3.02;4.99;0.0;0.0;4;29;15.5
435.0;993.5;1.0;0.03;0.43;15.77;15.77;53.97;2.68;4.3;0.0;0.0;4;29;15.75
374.15;971.9;1.0;0.03;0.52;15.84;15.84;53.95;2.6;4.1;0.0;0.0;4;29;16.0
158.25;933.32;1.0;0.03;1.0;15.55;15.55;54.83;2.74;4.36;0.0;0.0;4;29;16.25
134.95;903.5;1.0;0.04;1.0;15.27;15.27;55.99;2.88;4.69;0.0;0.0;4;29;16.5
