;Energy_1;Energy_2;Energy_3;Energy_4;Energy_5;Energy_6;Energy_7;Energy_8;Energy_Total
2022-01-01 02:15:00+02:00;;;;;;;;;
2022-01-01 02:30:00+02:00;;;;;;;;;
2022-01-01 02:45:00+02:00;;;;;;;;;
2022-01-01 03:00:00+02:00;;;;;;;;;
2022-01-01 03:15:00+02:00;;;;;;;;;
2022-01-01 03:30:00+02:00;;;;;;;;;
2022-01-01 03:45:00+02:00;;;;;;;;;
2022-01-01 04:00:00+02:00;;;;;;;;;
2022-01-01 04:15:00+02:00;;;;;;;;;
2022-01-01 04:30:00+02:00;;;;;;;;;
2022-01-01 04:45:00+02:00;;;;;;;;;
2022-01-01 05:00:00+02:00;;;;;;;;;
2022-01-01 05:15:00+02:00;;;;;;;;;
2022-01-01 05:30:00+02:00;;;;;;;;;
2022-01-01 05:45:00+02:00;;;;;;;;;
2022-01-01 06:00:00+02:00;;;;;;;;;
2022-01-01 06:15:00+02:00;;;;;;;;;
2022-01-01 06:30:00+02:00;;;;;;;;;
2022-01-01 06:45:00+02:00;;;;;;;;;
2022-01-01 07:00:00+02:00;;;;;;;;;
2022-01-01 07:15:00+02:00;;;;;;;;;
2022-01-01 07:30:00+02:00;;;;;;;;;
2022-01-01 07:45:00+02:00;429264746.0;420357074.0;388826835.0;401814733.0;155307823.0;;;;
2022-01-01 08:00:00+02:00;429264746.0;420357074.0;388826835.0;401814733.0;155307823.0;156455821.0;154486347.0;155913637.0;2262427016.0
2022-01-01 08:15:00+02:00;429264746.0;420357074.0;388826835.0;401814733.0;155307823.0;156455821.0;154486347.0;155913637.0;2262427016.0
2022-01-01 08:30:00+02:00;429264746.0;420357074.0;388826835.0;401814733.0;155307823.0;156455821.0;154486347.0;155913637.0;2262427016.0
2022-01-01 08:45:00+02:00;429264746.0;420357074.0;388826835.0;401814733.0;155307823.0;156455917.0;154486347.0;155913637.0;2262427112.0
2022-01-01 09:00:00+02:00;429264970.0;420357298.0;388827027.0;401814925.0;155307935.0;156456013.0;154486459.0;155913717.0;2262428344.0
2022-01-01 09:15:00+02:00;429265482.0;420357810.0;388827507.0;401815405.0;155308143.0;156456221.0;154486651.0;155914021.0;2262431240.0
2022-01-01 09:30:00+02:00;429266250.0;420358642.0;388828211.0;401816109.0;155308527.0;156456605.0;154487035.0;155914421.0;2262435800.0
2022-01-01 09:45:00+02:00;429267498.0;420359986.0;388829331.0;401817293.0;155309039.0;156457117.0;154487547.0;155915029.0;2262442840.0
2022-01-01 10:00:00+02:00;429268906.0;420361778.0;388830579.0;401818605.0;155309631.0;156457709.0;154488251.0;155915733.0;2262451192.0
2022-01-01 10:15:00+02:00;429270538.0;420363826.0;388832019.0;401820109.0;155310335.0;156458525.0;154488955.0;155916629.0;2262460936.0
2022-01-01 10:30:00+02:00;429272394.0;420365746.0;388833811.0;401821837.0;155311023.0;156459213.0;154489739.0;155917413.0;2262471176.0
2022-01-01 10:45:00+02:00;429274634.0;420368018.0;388835891.0;401823885.0;155311935.0;156460125.0;154490651.0;155918325.0;2262483464.0
2022-01-01 11:00:00+02:00;429277546.0;420371122.0;388838419.0;401826477.0;155313039.0;156461325.0;154491835.0;155919525.0;2262499288.0
2022-01-01 11:15:00+02:00;429280714.0;420374450.0;388841107.0;401829293.0;155314335.0;156462621.0;154493147.0;155920821.0;2262516488.0
2022-01-01 11:30:00+02:00;429283978.0;420377810.0;388843891.0;401832141.0;155315631.0;156463917.0;154494443.0;155922133.0;2262533944.0
2022-01-01 11:45:00+02:00;429287242.0;420381106.0;388846707.0;401834989.0;155316831.0;156465213.0;154495643.0;155923317.0;2262551048.0
2022-01-01 12:00:00+02:00;429290538.0;420384498.0;388849363.0;401837741.0;155318126.0;156466413.0;154496955.0;155924629.0;2262568263.0
2022-01-01 12:15:00+02:00;429295210.0;420389266.0;388852563.0;401841325.0;155319934.0;156468221.0;154498747.0;155926437.0;2262591703.0
2022-01-01 12:30:00+02:00;429300874.0;420395090.0;388856371.0;401845453.0;155322030.0;156470317.0;154500843.0;155928533.0;2262619511.0
2022-01-01 12:45:00+02:00;429307178.0;420401490.0;388860659.0;401849677.0;155324334.0;156472605.0;154503243.0;155930821.0;2262650007.0
