SWD;SWDtop;CU;CM;CD;TT2M;ST;RH2m;WS10m;WS100m;PREC;SNOW;Month;Day;Hour
0.00;0.0;0.0;0.0;0.0;8.38;8.38;93.34;3.46;9.10;0.0;0.0;4;1;2.25
0.00;0.0;0.0;0.0;0.0;8.52;8.52;92.18;3.81;9.52;0.0;0.0;4;1;2.50
0.00;0.0;0.0;0.0;0.0;8.66;8.66;90.91;4.15;9.66;0.0;0.0;4;1;2.75
0.00;0.0;0.0;0.0;0.0;8.76;8.76;90.18;4.36;9.50;0.0;0.0;4;1;3.00
0.00;0.0;0.0;0.0;0.0;8.74;8.74;90.39;4.38;9.16;0.0;0.0;4;1;3.25
0.0;0.0;0.0;0.76;0.0;0.0;13.14;13.14;72.48;7.39;13.79;0.0;4;1;21.50
0.0;0.0;0.0;1.00;0.0;0.0;13.13;13.13;72.07;7.46;13.93;0.0;4;1;21.75
0.0;0.0;0.0;1.00;0.0;0.0;13.12;13.12;71.67;7.52;14.04;0.0;4;1;22.00
0.0;0.0;0.0;1.00;0.0;0.0;13.10;13.10;71.36;7.55;14.10;0.0;4;1;22.25
0.0;0.0;0.0;1.00;0.0;0.0;13.08;13.08;71.03;7.56;14.10;0.0;4;1;22.50
