;Power_1;Power_2;Power_3;Power_4;Power_5;Power_6;Power_7;Power_8
2022-01-01 02:15:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 02:30:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 02:45:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 03:00:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 03:15:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 03:30:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 03:45:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 04:00:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 04:15:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 04:30:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 04:45:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 05:00:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 05:15:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 05:30:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 05:45:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 06:00:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 06:15:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 06:30:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 06:45:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 07:00:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 07:15:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 07:30:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 07:45:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 08:00:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 08:15:00+02:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-01-01 08:30:00+02:00;0.0;0.0;0.0;0.0;36.0;37.0;41.0;44.0
2022-01-01 08:45:00+02:00;152.0;187.0;69.0;89.0;188.0;197.0;193.0;202.0
2022-01-01 09:00:00+02:00;1264.0;1281.0;1134.0;1138.0;634.0;686.0;597.0;711.0
2022-01-01 09:15:00+02:00;2473.0;2498.0;2211.0;2256.0;1118.0;1172.0;1061.0;1251.0
2022-01-01 09:30:00+02:00;3550.0;3720.0;3197.0;3273.0;1530.0;1561.0;1505.0;1668.0
2022-01-01 09:45:00+02:00;5364.0;6164.0;4949.0;5068.0;2271.0;2323.0;2348.0;2611.0
2022-01-01 10:00:00+02:00;5917.0;7963.0;5082.0;5535.0;2399.0;2645.0;2884.0;3447.0
2022-01-01 10:15:00+02:00;6779.0;7614.0;6224.0;6307.0;2715.0;2864.0;3007.0;3106.0
2022-01-01 10:30:00+02:00;7817.0;7992.0;7511.0;7233.0;3061.0;3102.0;3096.0;3132.0
2022-01-01 10:45:00+02:00;9318.0;9431.0;8810.0;8530.0;3622.0;3655.0;3648.0;3674.0
2022-01-01 11:00:00+02:00;12881.0;13795.0;10709.0;11313.0;5181.0;5317.0;5340.0;5346.0
2022-01-01 11:15:00+02:00;11862.0;12169.0;10457.0;10598.0;4658.0;4694.0;4709.0;4724.0
2022-01-01 11:30:00+02:00;12510.0;12797.0;11004.0;11080.0;4875.0;4899.0;4919.0;4930.0
