YYYY	MM	DD	HH	MIN	SWD	SWDtop	CU	CM	CD	TT2M	ST	RH2m	WS10m	WS100m	PREC	SNOW
2022.	2.	1.	0.	15.	0.00	0.00	0.13	0.00	0.00	1.44	1.44	89.34	4.02	8.00	0.00	0.00
2022.	2.	1.	0.	30.	0.00	0.00	0.11	0.00	0.00	1.37	1.37	90.48	4.07	8.04	0.00	0.00
2022.	2.	1.	0.	45.	0.00	0.00	0.09	0.00	0.00	1.32	1.32	92.46	3.88	7.67	0.00	0.00
2022.	2.	1.	1.	0.	0.00	0.00	0.09	0.00	0.00	1.34	1.34	94.03	3.57	7.18	0.00	0.00
2022.	2.	1.	1.	15.	0.00	0.00	0.93	0.33	0.01	1.55	1.55	93.64	3.65	7.30	0.00	0.00
2022.	2.	1.	1.	30.	0.00	0.00	0.93	0.33	0.01	1.73	1.73	93.16	3.73	7.30	0.00	0.00
2022.	2.	1.	1.	45.	0.00	0.00	0.93	0.33	0.01	1.82	1.82	93.86	3.66	7.14	0.00	0.00
2022.	2.	1.	2.	0.	0.00	0.00	0.93	0.33	0.01	1.86	1.86	94.69	3.72	7.15	0.00	0.00
2022.	2.	1.	2.	15.	0.00	0.00	1.00	1.00	0.64	1.91	1.91	94.88	3.61	6.90	0.00	0.00
2022.	2.	1.	2.	30.	0.00	0.00	1.00	1.00	0.64	1.91	1.91	94.90	3.53	6.69	0.00	0.00
2022.	2.	1.	2.	45.	0.00	0.00	1.00	1.00	0.64	1.89	1.89	94.54	3.50	6.70	0.00	0.00
2022.	2.	1.	3.	0.	0.00	0.00	1.00	1.00	0.64	1.88	1.88	93.85	3.55	6.77	0.00	0.00
2022.	2.	1.	3.	15.	0.00	0.00	0.95	0.95	0.00	1.80	1.80	93.56	3.55	6.78	0.00	0.00
2022.	2.	1.	3.	30.	0.00	0.00	0.95	0.95	0.00	1.72	1.72	93.77	3.46	6.64	0.00	0.00
2022.	2.	1.	3.	45.	0.00	0.00	0.95	0.95	0.00	1.68	1.68	94.12	3.36	6.49	0.00	0.00
2022.	2.	1.	4.	0.	0.00	0.00	0.95	0.95	0.00	1.68	1.68	94.57	3.29	6.34	0.00	0.00
2022.	2.	1.	4.	15.	0.00	0.00	0.23	0.60	0.01	1.64	1.64	95.39	3.35	6.46	0.00	0.00
2022.	2.	1.	4.	30.	0.00	0.00	0.23	0.60	0.01	1.63	1.63	96.20	3.38	6.56	0.00	0.00
2022.	2.	1.	4.	45.	0.00	0.00	0.23	0.60	0.01	1.68	1.68	96.55	3.41	6.59	0.00	0.00
2022.	2.	1.	5.	0.	0.00	0.00	0.23	0.60	0.01	1.70	1.70	96.57	3.35	6.49	0.00	0.00
2022.	2.	1.	5.	15.	0.00	0.00	0.10	0.34	0.14	1.65	1.65	96.66	3.35	6.50	0.00	0.00
2022.	2.	1.	5.	30.	0.00	0.00	0.10	0.34	0.14	1.59	1.59	96.72	3.40	6.61	0.00	0.00
2022.	2.	1.	5.	45.	0.00	0.00	0.10	0.34	0.14	1.51	1.51	96.59	3.56	6.87	0.00	0.00
2022.	2.	1.	6.	0.	0.00	0.00	0.10	0.34	0.14	1.40	1.40	96.45	3.73	7.14	0.00	0.00
2022.	2.	1.	6.	15.	0.00	0.00	0.06	0.26	0.09	1.24	1.24	96.47	3.97	7.55	0.00	0.00
2022.	2.	1.	6.	30.	0.00	0.00	0.06	0.26	0.09	1.10	1.10	96.65	4.20	7.95	0.00	0.00
2022.	2.	1.	6.	45.	0.00	0.00	0.06	0.26	0.09	1.00	1.00	97.00	4.36	8.25	0.00	0.00
2022.	2.	1.	7.	0.	0.00	0.00	0.06	0.26	0.09	0.92	0.92	97.34	4.50	8.46	0.00	0.00
2022.	2.	1.	7.	15.	0.74	23.59	0.00	0.19	0.97	1.02	1.02	97.48	4.57	8.54	0.00	0.00
2022.	2.	1.	7.	30.	3.70	68.88	0.02	0.20	0.99	1.12	1.12	97.53	4.73	8.78	0.00	0.00
2022.	2.	1.	7.	45.	5.08	90.02	0.03	0.21	1.00	1.24	1.24	97.36	4.82	8.97	0.01	0.00
